item	backlog	stage	no_ai	with_ai	status	title
0.7.2.33	0.7.2	0.7	6.0	2.0	Todo	Редактор ShipmentType: Тип отправки
0.7.2.34	0.7.2	0.7	2.5	0.8	Todo	Загрузчик ShipmentType: Тип отправки
0.7.2.35	0.7.2	0.7	6.0	2.0	Todo	Редактор ProductGroup: Транспортные группы
0.7.2.36	0.7.2	0.7	2.5	0.8	Todo	Загрузчик ProductGroup: Транспортные группы
0.7.2.37	0.7.2	0.7	6.0	2.0	Todo	Редактор PlanFact: План-факт
0.7.2.38	0.7.2	0.7	2.5	0.8	Todo	Загрузчик PlanFact: План-факт
0.7.2.39	0.7.2	0.7	6.0	2.0	Todo	Редактор DangerClass: Классы опасности
0.7.2.40	0.7.2	0.7	2.5	0.8	Todo	Загрузчик DangerClass: Классы опасности
0.7.2.41	0.7.2	0.7	6.0	2.0	Todo	Редактор TransportTypeForProduct: Тип транспорта для продукта
0.7.2.42	0.7.2	0.7	2.5	0.8	Todo	Загрузчик TransportTypeForProduct: Тип транспорта для продукта
0.7.2.43	0.7.2	0.7	6.0	2.0	Todo	Редактор WarehouseASVERP: Склады АСВ – ERP
0.7.2.44	0.7.2	0.7	2.5	0.8	Todo	Загрузчик WarehouseASVERP: Склады АСВ – ERP
0.7.2.45	0.7.2	0.7	6.0	2.0	Todo	Редактор WarehouseASVERPLimitation: Склады АСВ – ERP. Ограничения
0.7.2.46	0.7.2	0.7	2.5	0.8	Todo	Загрузчик WarehouseASVERPLimitation: Склады АСВ – ERP. Ограничения
0.7.2.47	0.7.2	0.7	6.0	2.0	Todo	Редактор WarehouseOperator: Склад. Оператор склада SI
0.7.2.48	0.7.2	0.7	2.5	0.8	Todo	Загрузчик WarehouseOperator: Склад. Оператор склада SI
0.7.2.49	0.7.2	0.7	6.0	2.0	Todo	Редактор WarehouseSchedule: Склады. График работы
0.7.2.50	0.7.2	0.7	2.5	0.8	Todo	Загрузчик WarehouseSchedule: Склады. График работы
0.7.2.51	0.7.2	0.7	6.0	2.0	Todo	Редактор DepartmentNSI: Дирекция АСВ НСИ
0.7.2.52	0.7.2	0.7	2.5	0.8	Todo	Загрузчик DepartmentNSI: Дирекция АСВ НСИ
0.7.2.53	0.7.2	0.7	6.0	2.0	Todo	Редактор MKSourceNode: МК: Узел отправления
0.7.2.54	0.7.2	0.7	2.5	0.8	Todo	Загрузчик MKSourceNode: МК: Узел отправления
0.7.2.55	0.7.2	0.7	6.0	2.0	Todo	Редактор MKShippingFactory: МК: Завод отгрузки
0.7.2.56	0.7.2	0.7	2.5	0.8	Todo	Загрузчик MKShippingFactory: МК: Завод отгрузки
0.7.2.57	0.7.2	0.7	6.0	2.0	Todo	Редактор MKDirection: МК: Направление
0.7.2.58	0.7.2	0.7	2.5	0.8	Todo	Загрузчик MKDirection: МК: Направление
0.7.2.59	0.7.2	0.7	6.0	2.0	Todo	Редактор MkDirectionChannel: МК: Направление-канал
0.7.2.60	0.7.2	0.7	2.5	0.8	Todo	Загрузчик MkDirectionChannel: МК: Направление-канал
0.7.2.61	0.7.2	0.7	6.0	2.0	Todo	Редактор MkFactoryChannel: МК: Заводы-канал
0.7.2.62	0.7.2	0.7	2.5	0.8	Todo	Загрузчик MkFactoryChannel: МК: Заводы-канал
0.7.2.63	0.7.2	0.7	6.0	2.0	Todo	Редактор MKSourceNodeQuota: МК: Общая квота по узлам отправления
0.7.2.64	0.7.2	0.7	2.5	0.8	Todo	Загрузчик MKSourceNodeQuota: МК: Общая квота по узлам отправления
0.7.2.65	0.7.2	0.7	6.0	2.0	Todo	Редактор MkDirectionChannelQuota: МК: Общая квота по направлениям-каналам
0.7.2.66	0.7.2	0.7	2.5	0.8	Todo	Загрузчик MkDirectionChannelQuota: МК: Общая квота по направлениям-каналам
0.7.2.67	0.7.2	0.7	6.0	2.0	Todo	Редактор MkFactoryChannelQuota: МК: Общая квота по заводу-каналу
0.7.2.68	0.7.2	0.7	2.5	0.8	Todo	Загрузчик MkFactoryChannelQuota: МК: Общая квота по заводу-каналу
0.7.2.69	0.7.2	0.7	6.0	2.0	Todo	Редактор CBDNodeMapping: Меппинг между узлами ЦБД и СВТ
0.7.2.70	0.7.2	0.7	2.5	0.8	Todo	Загрузчик CBDNodeMapping: Меппинг между узлами ЦБД и СВТ
0.7.2.71	0.7.2	0.7	6.0	2.0	Todo	Редактор CBDTransportTypeMapping: Меппинг между типами транспорта ЦБД и СВТ
0.7.2.72	0.7.2	0.7	2.5	0.8	Todo	Загрузчик CBDTransportTypeMapping: Меппинг между типами транспорта ЦБД и СВТ
0.7.2.73	0.7.2	0.7	6.0	2.0	Todo	Редактор StatusSearch: Статусы результата поиска ставок для обновления ставок
0.7.2.74	0.7.2	0.7	2.5	0.8	Todo	Загрузчик StatusSearch: Статусы результата поиска ставок для обновления ставок
0.7.2.75	0.7.2	0.7	15.0	12.0	Todo	Доработка фреймворка/skill на тираже записи
0.7.2.76	0.7.2	0.7	6.0	3.5	Todo	Перенос purge-логики в C# (если есть легаси job)
0.7.3.1	0.7.3	0.7	18.0	12.0	Todo	Gate A × 6 доменов (сопровождение сверки)
0.7.3.2	0.7.3	0.7	30.0	24.0	Todo	Gate B × 6 доменов (сопровождение ОПЭ)
0.7.3.3	0.7.3	0.7	6.0	6.0	Todo	Gate C × 6 доменов (SoT Flip Decision Record)
0.7.3.4	0.7.3	0.7	2.0	1.5	Todo	Rollback drill на первом флипе (Ставки)
0.7.4.1	0.7.4	0.7	8.0	5.0	Todo	Сводка сверки редакторов/загрузчиков с легаси
0.7.4.2	0.7.4	0.7	8.0	5.0	Todo	Нагрузочное тестирование (пачки до 30 тыс.)
0.7.4.3	0.7.4	0.7	8.0	5.0	Todo	Внутреннее функциональное тестирование
0.7.4.4	0.7.4	0.7	10.0	6.0	Todo	Исправление дефектов
0.7.4.5	0.7.4	0.7	6.0	5.0	Todo	UAT
0.8.1.1	0.8.1	0.8	1.0	0.5	Done	Список вспомогательных с редактором/загрузчиком
0.8.1.2	0.8.1	0.8	1.5	1.0	Todo	Согласовать представителей 4 групп на Gate A/B
0.8.2.1	0.8.2	0.8	6.0	2.0	Todo	Редактор Integration: Интеграция
0.8.2.2	0.8.2	0.8	6.0	2.0	Todo	Редактор FeatureToggle: Переключатель фич
0.8.2.3	0.8.2	0.8	6.0	2.0	Todo	Редактор Currency: Валюты
0.8.2.4	0.8.2	0.8	2.5	0.8	Todo	Загрузчик Currency: Валюты
0.8.2.5	0.8.2	0.8	6.0	2.0	Todo	Редактор IntegrationDataType: Тип данных для интеграции
0.8.2.6	0.8.2	0.8	2.5	0.8	Todo	Загрузчик IntegrationDataType: Тип данных для интеграции
0.8.2.7	0.8.2	0.8	1.5	0.8	Todo	Права «Редактор вспомогательных»
0.8.2.8	0.8.2	0.8	2.0	1.0	Todo	Purge-логика в C# при наличии легаси job
0.8.3.1	0.8.3	0.8	3.0	2.0	Todo	Gate A (все 4 группы пользователей)
0.8.3.2	0.8.3	0.8	5.0	4.0	Todo	Gate B ОПЭ (все 4 группы)
0.8.3.3	0.8.3	0.8	1.0	1.0	Todo	Gate C SoT flip вспомогательных
0.8.4.1	0.8.4	0.8	4.0	2.5	Todo	Нагрузочное тестирование
0.8.4.2	0.8.4	0.8	3.0	2.0	Todo	Внутреннее функциональное тестирование
0.8.4.3	0.8.4	0.8	4.0	2.5	Todo	Исправление дефектов
0.8.4.4	0.8.4	0.8	3.0	2.5	Todo	UAT
0.8.4.5	0.8.4	0.8	2.0	1.5	Todo	Релиз на продуктив
0.9.1.1	0.9.1	0.9	6.0	3.5	Todo	Аналитика (модель заявки, статусы workflow)
0.9.1.2	0.9.1	0.9	10.0	5.0	Todo	UI модуля заявок на платформе + CQRS
0.9.1.3	0.9.1	0.9	8.0	4.0	Todo	Workflow заявок
0.9.1.4	0.9.1	0.9	3.0	1.5	Todo	Права: Инициатор / оператор заявок
0.9.1.5	0.9.1	0.9	10.0	5.0	Todo	Автоподбор ставки по ключевым полям
0.9.1.6	0.9.1	0.9	8.0	4.0	Todo	Связь с подобранной ставкой (в т.ч. A–B+B–C)
0.9.1.7	0.9.1	0.9	4.0	2.0	Todo	E-mail уведомления при смене статуса
0.9.1.8	0.9.1	0.9	5.0	3.0	Todo	Внутреннее функциональное тестирование
0.9.1.9	0.9.1	0.9	5.0	3.0	Todo	Исправление дефектов
0.9.1.10	0.9.1	0.9	4.0	3.5	Todo	UAT
0.9.1.11	0.9.1	0.9	3.0	2.5	Todo	Релиз на продуктив
1.0.1.1	1.0.1	1.0	5.0	2.5	Todo	Модель аудита: outbox + пофайловая проекция
1.0.1.2	1.0.1	1.0	4.0	2.0	Todo	Durable outbox в той же TX, что persist
1.0.1.3	1.0.1	1.0	4.0	2.0	Todo	BackgroundService разбора outbox
1.0.1.4	1.0.1	1.0	1.5	1.0	Todo	Health/lag-мониторинг воркера аудита
1.0.1.5	1.0.1	1.0	6.0	3.0	Todo	Отчёт/экран аудита + история поля
1.0.1.6	1.0.1	1.0	3.0	1.5	Todo	Политика хранения / очистка / архивация
1.0.1.7	1.0.1	1.0	1.5	0.8	Todo	Права на просмотр аудита
1.0.1.8	1.0.1	1.0	4.0	2.5	Todo	Нагрузочное тестирование
1.0.1.9	1.0.1	1.0	3.0	2.0	Todo	Внутреннее функциональное тестирование
1.0.1.10	1.0.1	1.0	3.0	2.0	Todo	Исправление дефектов
1.0.1.11	1.0.1	1.0	2.0	2.0	Todo	UAT
1.0.1.12	1.0.1	1.0	2.0	1.5	Todo	Релиз на продуктив
1.1.1.1	1.1.1	1.1	5.0	3.0	Todo	Аналитика и требования по дашбордам
1.1.1.2	1.1.1	1.1	4.0	2.0	Todo	Каркас модуля дашбордов
1.1.1.3	1.1.1	1.1	8.0	4.0	Todo	Движок расчёта/обновления агрегатов → cache
1.1.1.4	1.1.1	1.1	3.0	1.5	Todo	SQL-структура кеш-таблиц
1.1.1.5	1.1.1	1.1	8.0	4.0	Todo	UI: диаграммы, сводные, drill-down
1.1.1.6	1.1.1	1.1	6.0	3.0	Todo	Пилот одного дашборда E2E
1.1.1.7	1.1.1	1.1	36.0	14.0	Todo	Тираж остальных дашбордов (~9)
1.1.1.8	1.1.1	1.1	3.0	1.5	Todo	Контроль актуальности кеша / времени пересчёта
1.1.1.9	1.1.1	1.1	4.0	2.5	Todo	Внутреннее функциональное тестирование
1.1.1.10	1.1.1	1.1	4.0	2.5	Todo	Исправление дефектов
1.1.1.11	1.1.1	1.1	3.0	2.5	Todo	UAT
1.1.1.12	1.1.1	1.1	2.0	1.5	Todo	Релиз на продуктив
1.2.1.1	1.2.1	1.2	8.0	4.0	Todo	Инвентаризация SQL Agent jobs / SP (~30 потоков)
1.2.1.2	1.2.1	1.2	5.0	3.0	Todo	Аналитика способа выноса оркестрации
1.2.1.3	1.2.1	1.2	20.0	10.0	Todo	Вынос оркестрации в прикладной контур
1.2.1.4	1.2.1	1.2	8.0	4.0	Todo	Сохранение семантики mdm_integ ↔️ mdm
1.2.1.5	1.2.1	1.2	5.0	2.5	Todo	Унификация фиксации ошибок
1.2.1.6	1.2.1	1.2	5.0	2.5	Todo	Шаблон отчёта по интеграциям
1.2.1.7	1.2.1	1.2	45.0	18.0	Todo	Тираж отчётов на ~30 потоков
1.2.1.8	1.2.1	1.2	6.0	4.0	Todo	Точечные правки легаси при необходимости
1.2.1.9	1.2.1	1.2	3.0	2.0	Todo	Замена CurrencyRateActual на плановые курсы
1.2.1.10	1.2.1	1.2	6.0	4.0	Todo	Внутреннее функциональное тестирование
1.2.1.11	1.2.1	1.2	6.0	4.0	Todo	Исправление дефектов
1.2.1.12	1.2.1	1.2	5.0	4.0	Todo	UAT с поддержкой (инциденты через отчёты)
1.2.1.13	1.2.1	1.2	3.0	2.5	Todo	Релиз на продуктив
2.0.1.1	2.0.1	2.0	2.0	1.5	Todo	Подтвердить Gate C по всем доменам
2.0.1.2	2.0.1	2.0	2.0	1.5	Todo	Выгрузить 38 вне скоупа в Excel на Confluence
2.0.1.3	2.0.1	2.0	0.5	0.5	Todo	Подтвердить full backup на момент отключения
2.0.1.4	2.0.1	2.0	1.0	0.8	Todo	Обновить docs/user-guide (ссылка на архив)
2.0.1.5	2.0.1	2.0	3.0	2.0	Todo	Остановить write-through в легаси
2.0.1.6	2.0.1	2.0	15.0	8.0	Todo	Рефакторинг структуры БД (expand/contract)
2.0.1.7	2.0.1	2.0	8.0	7.0	Todo	Финальный UAT
2.0.1.8	2.0.1	2.0	6.0	4.0	Todo	Вывод Front / GOD / мёртвых сервисов
2.0.1.9	2.0.1	2.0	4.0	3.0	Todo	Вывод Elastic / RabbitMQ
2.0.2.1	2.0.2	2.0	8.0	4.0	Todo	Схлопнуть Вид/Тип/Тип 3 ур. транспорта
